year_month,tea_colombo_usd_kg,mombasa_usd_kg
2015-01,3.24,2.32
2015-02,3.11,2.42
2015-03,3.08,2.72
2015-04,3.01,2.77
2015-05,2.97,3.09
2015-06,3.01,3.27
2015-07,3.04,3.39
2015-08,2.91,3.17
2015-09,2.65,3.1
2015-10,2.81,3.24
2015-11,2.92,3.06
2015-12,2.95,3.03
2016-01,2.85,2.72
2016-02,2.83,2.48
2016-03,2.87,2.3
2016-04,2.99,2.11
2016-05,3.08,2.21
2016-06,2.96,2.41
2016-07,3.18,2.43
2016-08,3.46,2.31
2016-09,3.6,2.33
2016-10,3.88,2.39
2016-11,4.01,2.68
2016-12,3.91,2.67
2017-01,3.95,3.05
2017-02,3.97,3.06
2017-03,4.01,2.92
2017-04,4.05,2.87
2017-05,4.02,2.94
2017-06,3.95,3.14
2017-07,3.86,2.99
2017-08,4.13,2.9
2017-09,4.27,2.96
2017-10,4.19,3.06
2017-11,4.11,2.98
2017-12,4.11,2.79
2018-01,4.16,2.96
2018-02,4.1,2.99
2018-03,3.95,2.81
2018-04,3.88,2.69
2018-05,3.76,2.62
2018-06,3.39,2.52
2018-07,3.41,2.49
2018-08,3.34,2.4
2018-09,3.25,2.41
2018-10,3.48,2.42
2018-11,3.36,2.36
2018-12,3.18,2.3
2019-01,3.23,2.26
2019-02,3.27,2.16
2019-03,3.38,2.13
2019-04,3.34,2.26
2019-05,3.09,2.39
2019-06,2.78,2.16
2019-07,2.84,2.0
2019-08,3.06,2.11
2019-09,2.88,2.22
2019-10,2.94,2.34
2019-11,3.19,2.3
2019-12,3.21,2.21
2020-01,3.27,2.29
2020-02,3.35,2.13
2020-03,3.08,1.99
2020-04,3.66,2.11
2020-05,3.76,1.97
2020-06,3.3,1.86
2020-07,3.32,1.81
2020-08,3.37,2.0
2020-09,3.35,2.03
2020-10,3.51,1.98
2020-11,3.47,1.99
2020-12,3.41,1.94
2021-01,3.39,2.03
2021-02,3.32,2.02
2021-03,3.27,2.0
2021-04,3.21,1.92
2021-05,3.08,1.92
2021-06,2.93,1.82
2021-07,2.99,1.76
2021-08,2.99,2.16
2021-09,2.98,2.22
2021-10,3.05,2.42
2021-11,3.11,2.48
2021-12,3.19,2.62
2022-01,3.51,2.68
2022-02,3.61,2.73
2022-03,3.35,2.54
2022-04,4.09,2.53
2022-05,3.71,2.38
2022-06,3.51,2.11
2022-07,4.01,2.37
2022-08,4.21,2.36
2022-09,4.49,2.36
2022-10,4.15,2.46
2022-11,3.8,2.49
2022-12,4.04,2.39
2023-01,4.04,2.33
2023-02,3.96,2.29
2023-03,3.82,2.4
2023-04,3.9,2.35
2023-05,3.43,2.23
2023-06,3.23,2.09
2023-07,2.48,2.06
2023-08,3.58,2.25
2023-09,3.64,2.25
2023-10,3.49,2.16
2023-11,3.43,2.18
2023-12,3.67,2.19
2024-01,4.01,2.2
2024-02,4.27,2.23
2024-03,4.33,2.15
2024-04,4.12,2.31
2024-05,4.28,2.17
2024-06,4.16,2.14
2024-07,4.1,2.2
2024-08,4.02,2.2
2024-09,4.09,2.1
2024-10,4.06,2.07
2024-11,3.96,2.24
2024-12,4.11,2.19
2025-01,4.08,2.24
2025-02,4.0,2.25
2025-03,4.07,2.22
2025-04,3.96,2.11
2025-05,3.89,1.91
2025-06,3.74,2.0
2025-07,3.8,2.05
2025-08,3.98,2.14
2025-09,4.01,2.08
2025-10,3.94,2.23
2025-11,3.96,2.27
2025-12,3.95,2.26
2026-01,3.79,2.26
2026-02,3.76,2.34
2026-03,3.68,2.32
2026-04,3.8,2.32
2026-05,3.68,2.18
2026-06,3.5,2.27
