year_month,price_high_rs,price_low_rs,price_medium_rs,sales_qty_high_kg,sales_qty_low_kg,sales_qty_medium_kg,prod_high_kg,prod_low_kg,prod_medium_kg,prod_ctc_kg,prod_green_tea_kg,prod_orthodox_kg,export_black_qty_kg,export_black_fob_avg,price_high_rs_lag1,price_high_rs_lag3,price_high_rs_roll3,price_low_rs_lag1,price_low_rs_lag3,price_low_rs_roll3,price_medium_rs_lag1,price_medium_rs_lag3,price_medium_rs_roll3,month,quarter,is_peak_season,rainfall_mm_high,rainfall_mm_low,rainfall_mm_medium,avg_temp_c_high,avg_temp_c_low,avg_temp_c_medium,rainfall_mm,avg_temp_c,usd_lkr_avg,oil_price
2015-01,419.78249999999997,443.76899999999995,360.57625,59956.14,16086.6,38948.0,4853340.0,15252077.0,3194718.0,1596462.0,246920.0,21456754.0,1537634.99,1103.86,,,,,,,,,,1,1,1,84.97999999999999,72.33333333333333,35.5,22.103870967741937,29.017204301075267,24.189861751152073,66.62173913043478,24.542215988779805,131.5508,48.1
2015-02,428.7866666666667,429.745,380.11125,70734.0,39280.0,51352.0,6293412.0,14920546.0,4398983.0,1503753.0,282230.0,23826957.0,1635996.77,1103.58,419.78249999999997,,,443.76899999999995,,,360.57625,,,2,1,1,209.99,113.81666666666666,154.1142857142857,21.9175,29.64345238095238,24.115816326530613,167.89565217391305,24.60201863354037,132.7293,57.9
2015-03,416.96000000000004,428.689,381.36,51333.0,27245.5,82323.0,6938414.0,18710443.0,4788305.0,1726289.0,307855.0,28403018.0,1738208.81,1077.86,428.7866666666667,,421.84305555555557,429.745,,434.06766666666664,380.11125,,374.0158333333334,3,1,1,189.08999999999997,151.28333333333333,86.95714285714287,23.28677419354839,30.768279569892474,25.960829493087555,148.14347826086956,26.052314165497897,132.899,55.8
2015-04,388.23333333333335,426.463,373.973125,88686.5,75178.1,62360.0,8300502.0,17641071.0,5685615.0,1726795.0,265651.0,29634742.0,1272944.13,1103.99,416.96000000000004,419.78249999999997,411.32666666666665,428.689,443.76899999999995,428.299,381.36,360.57625,378.48145833333336,4,2,1,401.35,294.56666666666666,313.7857142857143,23.220999999999997,30.014444444444447,25.99,346.8434782608696,25.835942028985507,132.8993,59.4
2015-05,374.56,420.899,345.023125,81923.0,50891.0,44702.0,8216222.0,18875640.0,5339899.0,1771119.0,219149.0,30441493.0,1861930.68,1097.45,388.23333333333335,428.7866666666667,393.25111111111113,426.463,429.745,425.35033333333337,373.973125,380.11125,366.78541666666666,5,2,0,239.20999999999998,215.86666666666667,226.0,23.057096774193546,29.27688172043011,26.235483870967744,229.1,25.646984572230014,133.496,64.6
2015-06,371.6483333333333,428.059,342.145,69973.18,53303.5,25435.8,7638658.0,17111042.0,4829657.0,1488364.0,252167.0,27838827.0,1848313.51,1091.89,374.56,416.96000000000004,378.1472222222222,420.899,428.689,425.14033333333333,345.023125,381.36,353.71374999999995,6,2,0,135.7,176.58333333333334,93.57142857142857,22.613,28.823888888888888,26.354285714285712,133.54347826086956,25.371884057971013,133.8952,62.3
2015-07,393.8858333333333,417.53900000000004,346.920625,77390.0,14870.0,73261.0,5100175.0,17387424.0,3827270.0,1512752.0,228798.0,24573320.0,4870515.03,718.4725000000001,371.6483333333333,388.23333333333335,380.0313888888889,428.059,426.463,422.1656666666667,342.145,373.973125,344.69624999999996,7,3,0,157.3,177.26666666666665,84.65714285714286,22.15,28.39569892473118,26.548847926267282,140.4,25.118092566619918,133.6853,55.9
2015-08,386.0625,396.922,337.9925,50490.4,3532.05,36457.3,4743767.0,18131177.0,3551565.0,1652761.0,194650.0,24579099.0,1229633.96,1236.71,393.8858333333333,374.56,383.8655555555556,417.53900000000004,420.899,414.17333333333335,346.920625,345.023125,342.35270833333334,8,3,0,205.04000000000002,192.0,141.11428571428573,22.31451612903226,28.46559139784946,26.553456221198157,182.18260869565216,25.20925666199159,133.878,47.0
2015-09,383.03416666666664,371.77799999999996,322.5475,68817.3,31000.0,62504.0,5857291.0,17312479.0,4043581.0,1799225.0,225264.0,25188863.0,1510637.03,1273.54,386.0625,371.6483333333333,387.66083333333336,396.922,428.059,395.413,337.9925,342.145,335.82020833333337,9,3,0,255.03000000000003,271.48333333333335,212.3,22.189666666666668,28.215555555555557,25.935714285714283,246.31739130434784,24.901739130434784,138.8769,47.2
2015-10,405.3883333333333,392.506,339.90875,58794.0,81773.0,59617.3,6160253.0,16404965.0,4304333.0,1793608.0,257509.0,24818435.0,1693342.19,1183.95,383.03416666666664,393.8858333333333,391.49499999999995,371.77799999999996,417.53900000000004,387.06866666666673,322.5475,346.920625,333.48291666666665,10,4,0,793.65,687.4499999999999,630.6857142857143,22.171290322580646,28.593548387096774,24.9889400921659,716.3478260869565,24.70420757363254,140.8945,48.1
