year_month,tea_category,package_type,quantity_kg,fob_rs_per_kg
2015-01,Black,Bags,1537634.99,1103.86
2015-01,2015-01,Bulk,10283987.13,549.25
2015-01,2015-01,Packets (4g - 1kg),6845154.33,598.38
2015-01,2015-01,Packets (1kg - 3kg),77261.48,705.46
2015-01,2015-01,Packets (3kg - 5kg),1210961.8,506.73
2015-01,2015-01,Packets (5kg - 10kg),3563658.0,523.92
2015-01,Green,Bags,48754.69,2060.42
2015-01,2015-01,Bulk,45922.0,683.09
2015-01,2015-01,Packets (4g - 1kg),49461.49,1290.36
2015-01,2015-01,Packets (3kg - 5kg),20.0,1309.25
2015-01,2015-01,Packets (5kg - 10kg),1040.0,804.87
2015-01,Instant,Packets (>3kg),200249.76,1056.38
2015-02,Black,Bags,1635996.77,1103.58
2015-02,2015-02,Bulk,9218918.82,535.0
2015-02,2015-02,Packets (4g - 1kg),6457898.47,616.82
2015-02,2015-02,Packets (1kg - 3kg),88632.95,660.13
2015-02,2015-02,Packets (3kg - 5kg),1655125.8,548.82
2015-02,2015-02,Packets (5kg - 10kg),3462845.0,470.33
2015-02,Green,Bags,60237.35,2283.2
2015-02,2015-02,Bulk,76645.0,637.37
2015-02,2015-02,Packets (4g - 1kg),60239.6,1314.21
2015-02,2015-02,Packets (5kg - 10kg),3500.0,573.71
2015-02,Instant,Packets (>3kg),180010.0,1031.07
2015-02,2015-02,Packets (4g - 1kg),580.0,856.87
2015-03,Black,Bags,1738208.81,1077.86
2015-03,2015-03,Bulk,10237029.14,519.61
2015-03,2015-03,Packets (4g - 1kg),6933261.0,589.78
2015-03,2015-03,Packets (1kg - 3kg),257089.56,698.45
2015-03,2015-03,Packets (3kg - 5kg),1873973.5,550.34
2015-03,2015-03,Packets (5kg - 10kg),3073051.0,503.33
2015-03,Green,Bags,43979.94,2041.73
2015-03,2015-03,Bulk,94675.0,610.83
2015-03,2015-03,Packets (4g - 1kg),47392.82,1104.3
2015-03,2015-03,Packets (3kg - 5kg),170.0,2041.78
2015-03,2015-03,Packets (5kg - 10kg),3390.0,1029.01
2015-03,Instant,Packets (>3kg),85248.0,1008.02
2015-04,Black,Bags,1272944.13,1103.99
2015-04,2015-04,Bulk,9721039.27,524.76
2015-04,2015-04,Packets (4g - 1kg),6688486.01,577.72
2015-04,2015-04,Packets (1kg - 3kg),251289.47,613.32
2015-04,2015-04,Packets (3kg - 5kg),1502565.05,530.36
2015-04,2015-04,Packets (5kg - 10kg),2599832.5,510.68
2015-04,Green,Bags,75680.04,1643.23
2015-04,2015-04,Bulk,57900.0,597.81
2015-04,2015-04,Packets (4g - 1kg),51707.99,1243.7
2015-04,2015-04,Packets (3kg - 5kg),155.0,2072.82
2015-04,2015-04,Packets (5kg - 10kg),2215.0,1093.43
2015-04,Instant,Packets (>3kg),205045.2,983.74
2015-05,Black,Bags,1861930.68,1097.45
2015-05,2015-05,Bulk,12281496.36,520.98
2015-05,2015-05,Packets (4g - 1kg),7236071.5,601.5
2015-05,2015-05,Packets (1kg - 3kg),162182.68,795.01
2015-05,2015-05,Packets (3kg - 5kg),1430474.0,535.33
2015-05,2015-05,Packets (5kg - 10kg),3496067.0,470.43
2015-05,Green,Bags,49309.85,2051.83
2015-05,2015-05,Bulk,95740.0,647.53
2015-05,2015-05,Packets (4g - 1kg),56714.96,1160.59
2015-05,2015-05,Packets (1kg - 3kg),50.0,1016.96
2015-05,2015-05,Packets (3kg - 5kg),100.0,2443.97
2015-05,2015-05,Packets (5kg - 10kg),19200.0,610.84
2015-05,Instant,Packets (>3kg),197304.0,973.12
2015-06,Black,Bags,1848313.51,1091.89
2015-06,2015-06,Bulk,12080436.0,515.72
2015-06,2015-06,Packets (4g - 1kg),7203027.53,579.61
2015-06,2015-06,Packets (1kg - 3kg),192939.76,783.95
2015-06,2015-06,Packets (3kg - 5kg),1685268.0,552.89
2015-06,2015-06,Packets (5kg - 10kg),3733927.58,459.79
2015-06,Green,Bags,52385.07,1824.99
2015-06,2015-06,Bulk,80538.0,694.55
2015-06,2015-06,Packets (4g - 1kg),56664.85,1098.08
2015-06,2015-06,Packets (1kg - 3kg),6.0,2564.83
2015-06,2015-06,Packets (5kg - 10kg),2340.25,1390.75
2015-06,Instant,Packets (>3kg),193020.17,1047.49
2015-06,RTD,RTD ( Liters ),122.4,231.69
2015-07,Black,Bags,1848372.89,1142.38
2015-07,2015-07,Bulk,13148595.63,511.14
2015-07,2015-07,Packets (4g - 1kg),7304008.87,588.47
2015-07,2015-07,Packets (1kg - 3kg),294324.15,571.52
2015-07,Black,Bags,3022142.14,294.565
2015-07,2015-07,Bulk,1971468.842,131.04
2015-07,Green,Bags,57763.07,1965.89
2015-07,2015-07,Bulk,80852.0,654.54
