year_month,elevation,quantity_kg
2020-01,High,5085171.0
2020-01,Medium,3519689.0
2020-01,Low,13338052.0
2020-01,Total,21942912.0
2020-02,High,4548531.0
2020-02,Medium,3388080.0
2020-02,Low,10276682.0
2020-02,Total,18213293.0
2020-03,High,3442723.0
2020-03,Medium,2688075.0
2020-03,Low,7395238.0
2020-03,Total,13526037.0
2020-04,High,4180458.0
2020-04,Medium,3078744.0
2020-04,Low,13563444.0
2020-04,Total,20822646.0
2020-05,High,6788532.0
2020-05,Medium,5971322.0
2020-05,Low,15843192.0
2020-05,Total,28603046.0
2020-06,High,7358261.0
2020-06,Medium,4486521.0
2020-06,Low,15512288.0
2020-06,Total,27357070.0
2020-07,High,5869909.0
2020-07,Medium,4276074.0
2020-07,Low,16333720.0
2020-07,Total,26479703.0
2020-08,High,4138376.0
2020-08,Medium,3416123.0
2020-08,Low,14901637.0
2020-08,Total,22456136.0
2020-09,High,4219565.0
2020-09,Medium,3471742.0
2020-09,Low,14345821.0
2020-09,Total,22037127.0
2020-10,High,4570641.0
2020-10,Medium,3580748.0
2020-10,Low,15693400.0
2020-10,Total,23844788.0
2020-11,High,5502338.0
2020-11,Medium,4129846.0
2020-11,Low,15279668.0
2020-11,Total,24911853.0
2020-12,High,6537989.0
2020-12,Medium,4725292.0
2020-12,Low,17393872.0
2020-12,Total,28657154.0
2021-01,High,4826484.0
2021-01,Medium,3305149.0
2021-01,Low,14913562.0
2021-01,Total,23045195.0
2021-02,High,4590738.0
2021-02,Medium,3588384.0
2021-02,Low,14200275.0
2021-02,Total,22379398.0
2021-03,High,6474028.0
2021-03,Medium,5006587.0
2021-03,Low,16930374.0
2021-03,Total,28410989.0
2021-04,High,6850518.0
2021-04,Medium,5497243.0
2021-04,Low,17239746.0
2021-04,Total,29587507.0
2021-05,High,7176417.0
2021-05,Medium,5910791.0
2021-05,Low,17288611.0
2021-05,Total,30375818.0
2021-06,High,5908146.0
2021-06,Medium,4472658.0
2021-06,Low,15556888.0
2021-06,Total,25937691.0
2021-07,High,5798600.0
2021-07,Medium,4783750.0
2021-07,Low,15582615.0
2021-07,Total,26164965.0
2021-08,High,4993739.0
2021-08,Medium,3830891.0
2021-08,Low,14875463.0
2021-08,Total,23700094.0
2021-09,High,4105984.0
2021-09,Medium,3671696.0
2021-09,Low,14786344.0
2021-09,Total,22564023.0
2021-10,High,4774736.0
2021-10,Medium,4016782.0
2021-10,Low,15205413.0
2021-10,Total,23996931.0
2021-11,High,4127663.0
2021-11,Medium,3228016.0
2021-11,Low,12647820.0
2021-11,Total,20003498.0
2021-12,High,4510771.0
2021-12,Medium,3201506.0
2021-12,Low,12705216.0
2021-12,Total,20417493.0
2022-01,High,5450228.0
2022-01,Medium,3891205.0
2022-01,Low,13475781.0
2022-01,Total,22817214.0
2022-02,High,4336674.0
