year_month,tea_category,package_type,quantity_kg,fob_rs_per_kg
2015-01,Black,Bags,160715.47,1022.3
2015-01,2015-01,Bulk,148911.0,432.06
2015-01,2015-01,Packets (4g - 1kg),140048.26,698.85
2015-01,2015-01,Packets (5kg - 10kg),1280.0,368.52
2015-01,Green,Bags,95938.67,1598.89
2015-01,2015-01,Bulk,1815.0,477.17
2015-01,2015-01,Packets (4g - 1kg),67771.13,964.98
2015-01,2015-01,Packets (1kg - 3kg),200.0,1156.51
2015-01,2015-01,Packets (3kg - 5kg),10.0,134.0
2015-01,2015-01,RTD ( Liters ),1151343.0,83.89
2015-02,Black,Bags,254928.79,908.52
2015-02,2015-02,Bulk,70132.58,408.13
2015-02,2015-02,Packets (3kg - 5kg),36.0,1142.64
2015-02,2015-02,Packets (4g - 1kg),169281.46,695.85
2015-02,Green,Bags,79353.0,1981.36
2015-02,2015-02,Bulk,60.0,1556.15
2015-02,2015-02,Packets (4g - 1kg),77326.9,1067.19
2015-02,2015-02,RTD ( Liters ),1042752.32,85.78
2015-03,Black,Bags,342106.13,923.86
2015-03,2015-03,Bulk,59082.2,478.03
2015-03,2015-03,Packets (4g - 1kg),189695.75,677.03
2015-03,2015-03,Packets (1kg - 3kg),2.71,380.07
2015-03,2015-03,Packets (5kg - 10kg),1194.0,432.11
2015-03,Green,Bags,90646.45,1850.51
2015-03,2015-03,Bulk,7316.0,548.25
2015-03,2015-03,Packets (4g - 1kg),101696.04,969.73
2015-03,2015-03,Packets (1kg - 3kg),18.0,2206.61
2015-03,2015-03,Packets (3kg - 5kg),140.0,3369.09
2015-03,2015-03,Packets (5kg - 10kg),20.0,1031.8
2015-03,2015-03,RTD ( Liters ),967505.04,93.71
2015-04,Black,Bags,155106.64,1085.81
2015-04,2015-04,Bulk,35137.0,606.91
2015-04,2015-04,Packets (4g - 1kg),213796.17,610.34
2015-04,2015-04,Packets (5kg - 10kg),640.0,373.22
2015-04,Green,Bags,53574.47,2283.25
2015-04,2015-04,Packets (4g - 1kg),37032.83,1088.9
2015-04,2015-04,RTD ( Liters ),1083758.8,93.29
2015-05,Black,Bags,259016.99,960.25
2015-05,2015-05,Bulk,86415.0,485.34
2015-05,2015-05,Packets (4g - 1kg),189717.56,727.89
2015-05,2015-05,Packets (5kg - 10kg),40.0,26439.13
2015-05,Green,Bags,103434.96,2004.83
2015-05,2015-05,Bulk,16235.0,452.47
2015-05,2015-05,Packets (4g - 1kg),76048.16,1147.01
2015-05,Instant,Packets (>3kg),7.0,869.71
2015-05,RTD,RTD ( Liters ),1184258.0,91.24
2015-06,Black,Bags,240992.67,1017.24
2015-06,2015-06,Bulk,95504.25,516.77
2015-06,2015-06,Packets (4g - 1kg),177457.56,702.2
2015-06,2015-06,Packets (5kg - 10kg),7660.0,484.88
2015-06,Green,Bags,95107.5,2032.19
2015-06,2015-06,Packets (4g - 1kg),46022.8,1475.49
2015-06,2015-06,Packets (5kg - 10kg),40.0,256.43
2015-06,Instant,Packets (4g - 1kg),1165.92,1682.88
2015-06,RTD,RTD ( Liters ),1351477.0,89.4
2015-07,Black,Bags,241909.63,934.57
2015-07,2015-07,Bulk,65368.0,445.84
2015-07,2015-07,Packets (4g - 1kg),204425.15,678.15
2015-07,2015-07,Packets (5kg - 10kg),940.0,361.58
2015-07,Green,Bags,119783.65,1855.17
2015-07,2015-07,Bulk,27687.0,446.15
2015-07,2015-07,Packets (1kg - 3kg),600.0,624.97
2015-07,2015-07,Packets (4g - 1kg),86514.05,1081.59
2015-07,2015-07,RTD ( Liters ),1161798.87,88.27
2015-08,Black,Bags,157096.2,897.67
2015-08,2015-08,Bulk,68098.0,510.93
2015-08,2015-08,Packets (4g - 1kg),89598.54,632.55
2015-08,Green,Bags,103520.7,1674.3
2015-08,2015-08,Bulk,1580.0,818.62
2015-08,2015-08,Packets (1kg - 3kg),250.0,1078.98
2015-08,2015-08,Packets (4g - 1kg),84128.88,790.9
2015-08,2015-08,RTD ( Liters ),1353738.6,73.26
2015-09,Black,Bags,193271.94,945.28
2015-09,2015-09,Bulk,86250.2,367.35
2015-09,2015-09,Packets (4g - 1kg),190060.01,601.11
2015-09,2015-09,Packets (1kg - 3kg),63000.0,381.83
2015-09,2015-09,Packets (5kg - 10kg),50.4,2155.24
2015-09,Green,Bags,116778.38,1972.71
2015-09,2015-09,Bulk,668.68,671.31
2015-09,2015-09,Packets (4g - 1kg),49951.35,1189.81
2015-09,2015-09,Packets (5kg - 10kg),300.0,708.82
2015-09,RTD,RTD ( Liters ),1107731.6,91.6
2015-10,Black,Bags,292710.45,948.22
2015-10,2015-10,Bulk,94701.0,561.41
2015-10,2015-10,Packets (4g - 1kg),166415.4,683.58
2015-10,2015-10,Packets (5kg - 10kg),1030.0,367.39
2015-10,Green,Bags,123955.84,1726.76
2015-10,2015-10,Packets (4g - 1kg),70400.46,1241.1
2015-10,2015-10,Packets (1kg - 3kg),2016.0,659.85
2015-10,2015-10,Packets (5kg - 10kg),190.0,886.29
2015-10,Instant,Bags,93.7,349.28
2015-10,RTD,RTD ( Liters ),2102570.63,89.11
2015-11,Black,Bags,235972.07,1001.18
2015-11,2015-11,Bulk,79035.0,437.2
2015-11,2015-11,Packets (4g - 1kg),122822.88,741.0
2015-11,2015-11,Packets (5kg - 10kg),50.0,3789.42
2015-11,Green,Bags,111378.08,1929.39
2015-11,2015-11,Bulk,22606.0,434.76
2015-11,2015-11,Packets (4g - 1kg),37285.53,1167.58
2015-11,Instant,Packets (>3kg),5.0,574.6
2015-11,2015-11,Packets (4g - 1kg),7796.1,913.02
2015-11,RTD,RTD ( Liters ),1913715.48,89.89
2015-12,Black,Bags,387860.84,907.39
2015-12,2015-12,Bulk,70701.0,420.46
2015-12,2015-12,Packets (4g - 1kg),154072.2,694.76
2015-12,2015-12,Packets (3kg - 5kg),9.0,245.67
2015-12,2015-12,Packets (5kg - 10kg),1540.0,447.4
2015-12,Green,Bags,81887.44,1926.53
2015-12,2015-12,Bulk,3480.0,609.49
2015-12,2015-12,Packets (4g - 1kg),59102.13,1137.09
2015-12,2015-12,Packets (1kg - 3kg),1110.0,647.24
2015-12,2015-12,Packets (3kg - 5kg),5.0,1491.8
2015-12,2015-12,RTD ( Liters ),3706673.1,92.65
2016-01,Black,Bags,245247.11,986.14
2016-01,2016-01,Bulk,7341.8,555.41
2016-01,2016-01,Packets (4g - 1kg),280615.8,628.63
2016-01,2016-01,Packets (5kg - 10kg),1640.0,741.67
2016-01,Green,Bags,79164.82,1936.11
2016-01,2016-01,Bulk,1490.0,610.61
2016-01,2016-01,Packets (4g - 1kg),36518.67,1108.61
2016-01,RTD,RTD ( Liters ),2550037.55,95.45
2016-02,Black,Bags,273899.27,2026.14
2016-02,2016-02,Bulk,49210.0,533.0
2016-02,2016-02,Packets (4g - 1kg),144305.66,698.99
2016-02,2016-02,Packets (3kg - 5kg),58.5,3285.26
2016-02,2016-02,Packets (5kg - 10kg),6900.0,1004.56
2016-02,Green,Bags,86470.77,1950.26
2016-02,2016-02,Bulk,1667.0,481.63
2016-02,2016-02,Packets (4g - 1kg),56090.52,1212.8
2016-02,2016-02,Packets (1kg - 3kg),250.0,1163.23
2016-02,2016-02,Packets (5kg - 10kg),200.0,1063.54
2016-02,RTD,RTD ( Liters ),2573654.6,92.96
2016-03,Black,Bags,421011.28,1686.5
2016-03,2016-03,Bulk,99902.0,363.74
2016-03,2016-03,Packets (4g - 1kg),92382.39,749.84
2016-03,2016-03,Packets (1kg - 3kg),47.51,429.28
2016-03,2016-03,Packets (3kg - 5kg),76.9,1676.53
2016-03,2016-03,Packets (5kg - 10kg),19360.0,753.02
2016-03,Green,Bags,97150.88,2136.62
2016-03,2016-03,Bulk,18730.0,550.01
2016-03,2016-03,Packets (1kg - 3kg),100.0,978.82
2016-03,2016-03,Packets (3kg - 5kg),10.0,1424.0
2016-03,2016-03,Packets (4g - 1kg),59309.44,1058.46
2016-03,Instant,Packets (4g - 1kg),504.0,2001.7
2016-03,2016-03,RTD ( Liters ),3098636.1,100.56
2016-04,Black,Bags,211820.21,927.08
2016-04,2016-04,Bulk,26189.0,362.36
2016-04,2016-04,Packets (4g - 1kg),135251.35,677.58
2016-04,2016-04,Packets (3kg - 5kg),6728.0,349.02
2016-04,2016-04,Packets (5kg - 10kg),19.5,4305.9
2016-04,Green,Bags,62053.58,2123.44
2016-04,2016-04,Bulk,280.0,419.6
2016-04,2016-04,Packets (4g - 1kg),43195.44,1192.08
2016-04,2016-04,Packets (1kg - 3kg),3000.0,374.59
2016-04,2016-04,Packets (3kg - 5kg),132.0,534.64
2016-04,RTD,RTD ( Liters ),1417067.36,94.79
2016-05,Black,Bags,221312.76,910.64
2016-05,2016-05,Bulk,18806.0,787.27
2016-05,2016-05,Packets (4g - 1kg),125000.95,644.29
2016-05,2016-05,Packets (3kg - 5kg),11000.0,578.21
2016-05,2016-05,Packets (5kg - 10kg),2391.0,1290.77
2016-05,Green,Bags,63126.4,2344.05
2016-05,2016-05,Bulk,2610.0,736.53
2016-05,2016-05,Packets (4g - 1kg),42980.92,1028.59
2016-05,2016-05,Packets (5kg - 10kg),80.0,3698.75
2016-05,RTD,RTD ( Liters ),1554577.4,97.82
2016-06,Black,Bags,237830.26,957.52
2016-06,2016-06,Bulk,69871.38,419.99
2016-06,2016-06,Packets (4g - 1kg),136801.19,630.8
2016-06,2016-06,Packets (3kg - 5kg),20.0,16175.45
