year_month,usd_lkr_avg,usd_lkr_min,usd_lkr_max
2015-01,131.5508,131.0125,132.2
2015-02,132.7293,132.2,132.9
2015-03,132.899,132.8794,132.9
2015-04,132.8993,132.8964,132.9
2015-05,133.496,133.0714,133.9
2015-06,133.8952,133.7,134.2
2015-07,133.6853,133.6,133.8
2015-08,133.878,133.4927,134.3
2015-09,138.8769,134.5,141.2438
2015-10,140.8945,140.3209,141.2601
2015-11,142.0248,140.9668,143.2074
2015-12,143.4436,143.178,144.0623
2016-01,143.9403,143.745,144.2333
2016-02,143.9288,143.883,144.354
2016-03,143.9594,143.89,144.3571
2016-04,143.9001,143.9,143.9024
2016-05,145.6502,143.9,145.7617
2016-06,145.2836,144.5,145.955
2016-07,145.407,145.246,145.75
2016-08,145.601,145.5,145.8525
2016-09,145.7849,145.1558,146.7229
2016-10,146.8723,146.6698,147.1136
2016-11,147.771,147.3963,147.95
2016-12,148.882,147.95,149.8
2017-01,150.0946,149.9747,150.25
2017-02,150.8173,150.3246,151.25
2017-03,151.4275,151.2371,151.7354
2017-04,151.7595,151.6,151.9
2017-05,152.3344,151.9,152.5
2017-06,152.8307,152.4786,153.51
2017-07,153.666,153.51,153.751
2017-08,153.193,152.7582,153.6111
2017-09,152.8974,152.5028,153.1959
2017-10,153.5262,153.1072,153.8586
2017-11,153.6599,153.3588,153.8167
2017-12,153.1506,152.6243,153.6882
2018-01,153.8016,153.4697,154.0688
2018-02,154.8579,153.9449,155.5955
2018-03,155.7288,154.978,156.1578
2018-04,156.1354,155.3218,157.6459
2018-05,157.8994,157.4737,158.5077
2018-06,159.0711,158.1255,160.0279
2018-07,159.3375,158.3634,160.0312
2018-08,160.3539,159.5855,161.473
2018-09,164.4153,161.4909,169.2383
2018-10,171.2249,169.1966,174.3762
2018-11,176.8496,174.342,180.3916
2018-12,180.098,178.8155,182.7499
2019-01,182.1277,179.8821,182.9113
2019-02,178.7331,177.5497,179.8414
2019-03,178.4298,176.13,180.1021
2019-04,174.8012,174.4335,175.555
2019-05,176.4447,175.529,177.62
2019-06,176.5889,176.4107,176.8799
2019-07,175.9902,175.4623,176.5246
2019-08,177.9705,176.3463,180.7243
2019-09,180.7752,179.6846,181.9272
2019-10,181.4511,180.4535,182.3272
2019-11,180.3729,179.1466,181.3352
2019-12,181.2539,180.8635,181.634
2020-01,181.4036,181.028,181.5857
2020-02,181.5628,181.3408,181.8976
2020-03,185.0567,181.8312,190.5
2020-04,193.0854,190.0,199.7543
2020-05,187.865,185.6954,191.9692
2020-06,185.9545,185.0714,186.6693
2020-07,185.8487,185.6769,186.2482
2020-08,184.8939,182.645,186.3253
2020-09,185.0317,184.2087,186.1004
2020-10,184.4379,184.1909,184.9467
2020-11,184.7882,184.2938,185.5071
2020-12,187.1822,185.4773,190.2846
2021-01,190.4918,185.0,196.8017
2021-02,194.0665,190.9824,194.958
2021-03,196.9825,194.0149,199.4353
2021-04,197.423,191.881,200.0184
2021-05,199.5847,199.2275,199.9
2021-06,199.8161,199.5,201.1381
2021-07,199.9778,199.8942,200.78
2021-08,200.4965,199.9,210.0
2021-09,201.9858,199.6314,210.0
2021-10,201.0899,200.0,203.0
2021-11,201.8582,200.3103,202.6244
2021-12,201.399,200.01,203.0
2022-01,201.4647,200.0,202.75
2022-02,201.7362,201.0,202.4091
2022-03,255.8081,201.6305,306.0796
2022-04,319.4404,299.0,341.85
2022-05,358.939,340.0,364.76
2022-06,360.2428,359.72,361.75
2022-07,360.8724,359.55,361.9
2022-08,360.9983,360.8,361.4
2022-09,362.3826,361.0786,362.9
2022-10,363.1484,362.9,363.38
2022-11,363.394,363.0,363.5
2022-12,363.1652,363.1,363.19
2023-01,362.4228,362.14,363.11
2023-02,361.9766,361.6318,362.668
2023-03,329.4709,317.3116,358.4593
2023-04,321.4244,319.5718,327.5
2023-05,310.1639,295.5211,321.4389
2023-06,301.2612,290.9686,313.8245
2023-07,319.2903,306.2611,329.4167
2023-08,321.5764,314.0972,324.6497
2023-09,322.7693,319.257,324.7013
2023-10,324.7303,323.5166,327.3817
2023-11,328.25,326.894,329.509
2023-12,326.7423,323.9233,328.0314
2024-01,321.1706,317.4089,323.9902
2024-02,312.5801,310.1532,316.1275
2024-03,305.665,301.1837,309.8946
2024-04,299.4232,296.2033,302.0
2024-05,299.6923,296.7992,302.2475
2024-06,303.8121,301.8946,305.7065
2024-07,303.7559,301.4954,306.0182
2024-08,300.6683,298.6809,302.4975
2024-09,301.1505,298.6949,304.8847
2024-10,293.7851,292.8558,297.1955
2024-11,292.0092,290.917,293.4102
2024-12,291.6805,290.2596,296.4816
2025-01,296.1796,293.0027,298.8605
2025-02,296.8034,295.3468,299.1413
2025-03,295.909,295.2061,296.7237
2025-04,298.5312,296.0638,301.2049
2025-05,299.4142,298.5101,300.565
2025-06,299.9014,298.9831,301.1214
2025-07,301.1217,299.9523,302.2079
2025-08,301.4891,300.6705,302.4465
2025-09,302.1955,301.8134,302.6097
2025-10,303.1305,302.4794,304.4223
2025-11,306.347,304.2775,308.4745
2025-12,309.2009,308.071,309.9944
2026-01,309.6541,309.0476,310.1421
2026-02,309.3638,309.2053,309.5079
2026-03,311.9129,309.2363,315.1909
2026-04,316.4515,315.21,319.3492
2026-05,324.9147,319.5189,336.8818
2026-06,334.4265,329.2241,337.6325
2026-07,335.7756,334.7128,336.4034
