Currency,Date,"Exchange Rate"

USD,2026-05-29,327.8205
USD,2026-05-27,323.0195
USD,2026-05-26,325.1144
USD,2026-05-25,336.8818
USD,2026-05-22,333.9925
USD,2026-05-21,329.6367
USD,2026-05-20,328.1968
USD,2026-05-19,326.9212
USD,2026-05-18,325.6208
USD,2026-05-15,324.7184
USD,2026-05-14,323.9586
USD,2026-05-13,322.2773
USD,2026-05-12,322.0280
USD,2026-05-11,321.8718
USD,2026-05-08,321.6318
USD,2026-05-07,320.4515
USD,2026-05-06,319.7857
USD,2026-05-05,319.5189
USD,2026-05-04,319.9322
USD,2026-04-30,319.3492
USD,2026-04-29,318.6939
USD,2026-04-28,317.9173
USD,2026-04-27,317.7500
USD,2026-04-24,317.1708
USD,2026-04-23,316.7792
USD,2026-04-22,316.4625
USD,2026-04-21,316.4443
USD,2026-04-20,316.4400
USD,2026-04-17,315.7222
USD,2026-04-16,315.5450
USD,2026-04-15,315.5893
USD,2026-04-10,315.5500
USD,2026-04-09,315.2174
USD,2026-04-08,315.4524
USD,2026-04-07,315.4500
USD,2026-04-06,315.3833
USD,2026-04-02,315.2100
USD,2026-03-31,315.1909
USD,2026-03-30,314.8755
USD,2026-03-27,314.3860
USD,2026-03-26,313.5091
USD,2026-03-25,314.2167
USD,2026-03-24,312.9640
USD,2026-03-23,311.7473
USD,2026-03-20,311.4080
USD,2026-03-19,311.3000
USD,2026-03-18,311.3138
USD,2026-03-17,311.3783
USD,2026-03-16,311.1330
USD,2026-03-13,311.0653
USD,2026-03-12,310.9475
USD,2026-03-11,311.1244
USD,2026-03-10,311.7288
USD,2026-03-09,311.3373
USD,2026-03-06,310.9029
USD,2026-03-05,310.2950
USD,2026-03-04,310.1116
USD,2026-03-03,309.2363
USD,2026-02-27,309.3091
USD,2026-02-26,309.3486
USD,2026-02-25,309.3711
USD,2026-02-24,309.3789
USD,2026-02-23,309.3762
USD,2026-02-20,309.3069
USD,2026-02-19,309.3780
USD,2026-02-18,309.3161
USD,2026-02-17,309.2197
USD,2026-02-16,309.2053
USD,2026-02-13,309.3532
USD,2026-02-12,309.3864
USD,2026-02-11,309.4591
USD,2026-02-10,309.4490
USD,2026-02-09,309.3805
USD,2026-02-06,309.4614
USD,2026-02-05,309.5079
USD,2026-02-03,309.4545
USD,2026-02-02,309.2494
USD,2026-01-30,309.4993
USD,2026-01-29,309.6525
USD,2026-01-28,309.6089
USD,2026-01-27,309.5593
USD,2026-01-26,309.8033
USD,2026-01-23,309.7973
USD,2026-01-22,309.6825
USD,2026-01-21,309.8507
USD,2026-01-20,309.7416
USD,2026-01-19,309.6601
USD,2026-01-16,309.3336
USD,2026-01-14,309.1127
USD,2026-01-13,309.0476
USD,2026-01-12,309.3752
USD,2026-01-09,309.7183
USD,2026-01-08,310.1421
USD,2026-01-07,310.0260
USD,2026-01-06,309.8535
USD,2026-01-05,309.7548
USD,2026-01-02,309.5365
USD,2026-01-01,309.9809
USD,2025-12-31,309.9944
USD,2025-12-30,309.8309
USD,2025-12-29,309.7101
USD,2025-12-26,309.7074
USD,2025-12-24,309.6580
USD,2025-12-23,309.5453
USD,2025-12-22,309.5238
USD,2025-12-19,309.7162
USD,2025-12-18,309.6458
USD,2025-12-17,309.5379
USD,2025-12-16,309.2557
USD,2025-12-15,309.1486
USD,2025-12-12,309.0255
USD,2025-12-11,308.7480
USD,2025-12-10,308.6494
USD,2025-12-09,308.6083
USD,2025-12-08,308.6553
USD,2025-12-05,308.8479
USD,2025-12-03,308.8268
USD,2025-12-02,308.5126
USD,2025-12-01,308.0710
USD,2025-11-28,308.0262
USD,2025-11-27,308.0750
USD,2025-11-26,307.9064
USD,2025-11-25,307.8585
USD,2025-11-24,307.9781
USD,2025-11-21,308.2526
USD,2025-11-20,308.4745
USD,2025-11-19,307.7857
USD,2025-11-18,307.8955
USD,2025-11-17,306.3737
USD,2025-11-14,305.2173
USD,2025-11-13,304.5194
USD,2025-11-12,304.2775
USD,2025-11-11,304.3910
USD,2025-11-10,304.9548
USD,2025-11-07,304.9541
USD,2025-11-06,304.6238
USD,2025-11-04,304.5367
USD,2025-11-03,304.4913
USD,2025-10-31,304.4223
USD,2025-10-30,304.3424
USD,2025-10-29,304.2329
USD,2025-10-28,304.0209
USD,2025-10-27,303.7740
USD,2025-10-24,303.6082
USD,2025-10-23,303.2568
USD,2025-10-22,303.1106
USD,2025-10-21,303.0311
USD,2025-10-17,302.9869
USD,2025-10-16,302.9654
USD,2025-10-15,302.7268
USD,2025-10-14,302.6020
USD,2025-10-13,302.6837
USD,2025-10-10,302.7339
USD,2025-10-09,302.6180
USD,2025-10-08,302.4906
USD,2025-10-07,302.4794
USD,2025-10-03,302.5219
USD,2025-10-02,302.5171
USD,2025-10-01,302.6158
USD,2025-09-30,302.6097
USD,2025-09-29,302.5988
USD,2025-09-26,302.5248
USD,2025-09-25,302.5733
USD,2025-09-24,302.5314
USD,2025-09-23,302.4124
USD,2025-09-22,302.3706
USD,2025-09-19,302.0652
USD,2025-09-18,301.9777
USD,2025-09-17,302.1078
USD,2025-09-16,302.1169
USD,2025-09-15,301.8134
USD,2025-09-12,301.9126
USD,2025-09-11,302.0173
USD,2025-09-10,301.9019
USD,2025-09-09,302.0123
USD,2025-09-08,302.0218
USD,2025-09-04,302.1360
USD,2025-09-03,302.1360
USD,2025-09-02,301.9727
USD,2025-09-01,302.2931
USD,2025-08-29,302.4465
USD,2025-08-28,302.3261
USD,2025-08-27,302.3020
USD,2025-08-26,302.2301
USD,2025-08-25,301.9848
USD,2025-08-22,301.8311
USD,2025-08-21,301.8375
USD,2025-08-20,301.5355
USD,2025-08-19,301.1936
USD,2025-08-18,301.1502
USD,2025-08-15,301.0335
USD,2025-08-14,300.9333
USD,2025-08-13,301.0170
USD,2025-08-12,300.6705
USD,2025-08-11,300.8113
USD,2025-08-07,300.7660
USD,2025-08-06,300.9112
USD,2025-08-05,301.0039
USD,2025-08-04,301.6126
USD,2025-08-01,302.1856
USD,2025-07-31,302.2079
USD,2025-07-30,302.0420
USD,2025-07-29,301.9502
USD,2025-07-28,301.8716
USD,2025-07-25,301.8293
USD,2025-07-24,301.7688
USD,2025-07-23,301.7347
USD,2025-07-22,301.8496
USD,2025-07-21,301.5995
USD,2025-07-18,301.5145
USD,2025-07-17,301.3045
USD,2025-07-16,300.9550
USD,2025-07-15,300.9579
USD,2025-07-14,300.7031
USD,2025-07-11,300.7097
USD,2025-07-09,300.9139
USD,2025-07-08,300.5654
USD,2025-07-07,300.2223
USD,2025-07-04,300.0015
USD,2025-07-03,299.9991
USD,2025-07-02,300.0253
USD,2025-07-01,299.9523
USD,2025-06-30,299.9674
USD,2025-06-27,299.9734
USD,2025-06-26,300.2152
USD,2025-06-25,300.4861
USD,2025-06-24,301.1214
USD,2025-06-23,300.4493
USD,2025-06-20,300.6511
USD,2025-06-19,300.7094
USD,2025-06-18,300.8465
USD,2025-06-17,300.7861
USD,2025-06-16,299.4377
USD,2025-06-13,299.0231
USD,2025-06-12,298.9831
USD,2025-06-11,299.1087
USD,2025-06-09,299.1426
USD,2025-06-06,299.2745
USD,2025-06-05,299.3602
USD,2025-06-04,299.5189
USD,2025-06-03,299.5516
USD,2025-06-02,299.4211
USD,2025-05-30,299.4393
USD,2025-05-29,299.6736
USD,2025-05-28,299.6855
USD,2025-05-27,299.5690
USD,2025-05-26,299.3360
USD,2025-05-23,299.4119
USD,2025-05-22,299.8469
USD,2025-05-21,300.5650
USD,2025-05-20,299.5470
USD,2025-05-19,298.8165
USD,2025-05-16,298.5101
USD,2025-05-15,298.6897
USD,2025-05-14,298.9213
USD,2025-05-09,299.2985
USD,2025-05-08,299.4917
USD,2025-05-07,299.4952
USD,2025-05-06,299.5246
USD,2025-05-05,299.4780
USD,2025-05-02,299.5698
USD,2025-04-30,299.6218
USD,2025-04-29,299.6612
USD,2025-04-28,299.6968
USD,2025-04-25,300.0608
USD,2025-04-24,299.8285
USD,2025-04-23,299.7194
USD,2025-04-22,299.2328
USD,2025-04-21,299.0786
USD,2025-04-17,298.6186
USD,2025-04-16,298.1380
USD,2025-04-11,298.8721
USD,2025-04-10,301.2049
USD,2025-04-09,298.6051
USD,2025-04-08,297.5237
USD,2025-04-07,296.7552
USD,2025-04-04,296.8985
USD,2025-04-03,296.0638
USD,2025-04-02,296.1931
USD,2025-04-01,296.3198
USD,2025-03-28,296.3472
USD,2025-03-27,296.4517
USD,2025-03-26,296.6087
USD,2025-03-25,296.7237
USD,2025-03-24,296.5901
USD,2025-03-21,296.6034
USD,2025-03-20,296.2133
USD,2025-03-19,296.0400
USD,2025-03-18,296.2915
USD,2025-03-17,295.8118
USD,2025-03-14,295.4196
USD,2025-03-12,295.5014
USD,2025-03-11,295.4696
USD,2025-03-10,295.4680
USD,2025-03-07,295.5809
USD,2025-03-06,295.2296
USD,2025-03-05,295.2061
USD,2025-03-04,295.3470
USD,2025-03-03,295.3680
USD,2025-02-28,295.4981
USD,2025-02-27,295.7164
USD,2025-02-25,295.7490
USD,2025-02-24,295.8829
USD,2025-02-21,296.4754
USD,2025-02-20,296.6271
USD,2025-02-19,295.8921
USD,2025-02-18,295.3468
USD,2025-02-17,295.5232
USD,2025-02-14,296.5560
USD,2025-02-13,297.0173
USD,2025-02-11,297.5176
USD,2025-02-10,297.6589
USD,2025-02-07,298.4908
USD,2025-02-06,298.9288
USD,2025-02-05,299.1413
USD,2025-02-03,297.6367
USD,2025-01-31,297.5797
USD,2025-01-30,296.5464
USD,2025-01-29,297.8990
USD,2025-01-28,298.4691
USD,2025-01-27,298.4110
USD,2025-01-24,298.8605
USD,2025-01-23,298.6584
USD,2025-01-22,297.4952
USD,2025-01-21,296.8545
USD,2025-01-20,296.6599
USD,2025-01-17,296.5135
USD,2025-01-16,295.2210
USD,2025-01-15,294.5963
USD,2025-01-10,295.5931
USD,2025-01-09,296.0915
USD,2025-01-08,296.1507
USD,2025-01-07,294.9314
USD,2025-01-06,293.5577
USD,2025-01-03,293.2654
USD,2025-01-02,293.4147
USD,2025-01-01,293.0027
USD,2024-12-31,292.5833
USD,2024-12-30,292.7528
USD,2024-12-27,294.3343
USD,2024-12-26,296.4816
USD,2024-12-24,295.6109
USD,2024-12-23,293.1667
USD,2024-12-20,292.6811
USD,2024-12-19,291.2826
USD,2024-12-18,290.9406
USD,2024-12-17,290.7605
USD,2024-12-16,290.3230
USD,2024-12-13,290.2596
USD,2024-12-12,290.2963
USD,2024-12-11,290.3096
USD,2024-12-10,290.3607
USD,2024-12-09,290.3415
USD,2024-12-06,290.4005
USD,2024-12-05,290.5201
USD,2024-12-04,290.5357
USD,2024-12-03,290.6498
USD,2024-12-02,290.6996
USD,2024-11-29,290.9179
USD,2024-11-28,291.0933
USD,2024-11-27,291.1471
USD,2024-11-26,291.0625
USD,2024-11-25,290.9399
USD,2024-11-22,290.9942
USD,2024-11-21,290.9755
