date,usd_lkr
2020-01-01,181.5011
2020-01-02,181.028
2020-01-03,181.3687
2020-01-06,181.3198
2020-01-07,181.4523
2020-01-08,181.3102
2020-01-09,181.4217
2020-01-13,181.4054
2020-01-14,181.3012
2020-01-16,181.5279
2020-01-17,181.3814
2020-01-20,181.3097
2020-01-21,181.3382
2020-01-22,181.3344
2020-01-23,181.4718
2020-01-24,181.4156
2020-01-27,181.4427
2020-01-28,181.5275
2020-01-29,181.5348
2020-01-30,181.4984
2020-01-31,181.5857
2020-02-03,181.4017
2020-02-05,181.4781
2020-02-06,181.3973
2020-02-07,181.3408
2020-02-10,181.3709
2020-02-11,181.4241
2020-02-12,181.424
2020-02-13,181.4481
2020-02-14,181.4571
2020-02-17,181.4757
2020-02-18,181.5334
2020-02-19,181.6199
2020-02-20,181.8976
2020-02-24,181.8423
2020-02-25,181.7795
2020-02-26,181.7458
2020-02-27,181.687
2020-02-28,181.8071
2020-03-02,181.9261
2020-03-03,182.0821
2020-03-04,182.1086
2020-03-05,182.0347
2020-03-06,181.9223
2020-03-10,181.8312
2020-03-11,182.4495
2020-03-12,182.4348
2020-03-13,182.8203
2020-03-17,183.6968
2020-03-18,185.0854
2020-03-19,184.9298
2020-03-20,186.9384
2020-03-23,187.0
2020-03-24,187.0
2020-03-25,189.25
2020-03-26,189.25
2020-03-27,189.25
2020-03-30,190.5
2020-03-31,188.6236
2020-04-01,190.1563
2020-04-02,190.0
2020-04-03,191.0
2020-04-06,194.8023
2020-04-08,198.4216
2020-04-09,199.7543
2020-04-15,192.9366
2020-04-16,191.6919
2020-04-17,192.6776
2020-04-20,191.7233
2020-04-21,194.8458
2020-04-22,192.6909
2020-04-23,192.72
2020-04-24,192.0
2020-04-27,192.0
2020-04-28,192.5
2020-04-29,192.7667
2020-04-30,192.85
2020-05-04,191.9692
2020-05-05,190.1281
2020-05-06,188.952
2020-05-11,188.3479
2020-05-12,188.1075
2020-05-13,188.4262
2020-05-14,188.1954
2020-05-15,188.0186
2020-05-18,187.9868
2020-05-19,187.59
2020-05-20,187.6121
2020-05-21,187.2876
2020-05-22,186.9062
2020-05-26,185.6954
2020-05-27,186.081
2020-05-28,186.1153
2020-05-29,186.2865
2020-06-01,186.1456
2020-06-02,186.1136
2020-06-03,185.8628
2020-06-04,185.7939
2020-06-08,185.4808
2020-06-09,185.0714
2020-06-10,185.0856
2020-06-11,185.1107
2020-06-12,185.1677
2020-06-15,185.1799
2020-06-16,185.6585
2020-06-17,185.9544
2020-06-18,186.6082
2020-06-19,186.5611
2020-06-22,186.5972
2020-06-23,186.603
2020-06-24,186.6693
2020-06-25,186.5942
2020-06-26,186.44
2020-06-29,186.1179
2020-06-30,186.2292
2020-07-01,186.2067
2020-07-02,186.2482
2020-07-03,186.0915
2020-07-06,185.9691
2020-07-07,185.8686
2020-07-08,185.8464
2020-07-09,185.8278
2020-07-10,185.7142
2020-07-13,185.8664
2020-07-14,185.9109
2020-07-15,185.8384
2020-07-16,185.8084
2020-07-17,185.8043
2020-07-20,185.7792
2020-07-21,185.7477
2020-07-22,185.776
2020-07-23,185.7909
2020-07-24,185.7495
2020-07-27,185.7681
2020-07-28,185.7498
2020-07-29,185.7586
2020-07-30,185.7224
2020-07-31,185.6769
2020-08-04,185.6137
2020-08-05,185.5532
2020-08-06,185.5025
2020-08-07,185.4435
2020-08-10,185.3294
2020-08-11,184.8127
2020-08-12,184.2772
2020-08-13,183.4614
2020-08-14,182.645
2020-08-17,182.8155
2020-08-18,183.3052
2020-08-19,184.0783
2020-08-20,185.2732
2020-08-21,186.0642
2020-08-24,184.1213
2020-08-25,184.7242
2020-08-26,186.1231
2020-08-27,186.3253
2020-08-28,186.2504
2020-08-31,186.1578
2020-09-02,186.1004
2020-09-03,185.4189
2020-09-04,185.2317
2020-09-07,185.2125
2020-09-08,184.7814
2020-09-09,184.3959
2020-09-10,184.3531
2020-09-11,184.736
2020-09-14,184.5487
2020-09-15,184.2087
2020-09-16,184.4109
2020-09-17,184.8888
2020-09-18,184.9621
2020-09-21,185.3935
2020-09-22,185.5337
2020-09-23,185.3808
2020-09-24,185.0959
2020-09-25,185.0175
2020-09-28,185.1969
2020-09-29,185.2765
2020-09-30,185.5224
2020-10-02,184.9467
2020-10-05,184.5675
2020-10-06,184.7631
2020-10-07,184.7127
2020-10-08,184.4723
2020-10-09,184.1916
2020-10-12,184.1909
2020-10-13,184.1919
2020-10-14,184.2721
2020-10-15,184.6039
2020-10-16,184.6942
2020-10-19,184.3203
2020-10-20,184.3122
2020-10-21,184.4198
2020-10-22,184.3514
2020-10-23,184.3012
2020-10-26,184.5397
2020-10-27,184.3315
2020-10-28,184.2983
2020-10-29,184.2769
2020-11-02,184.2938
2020-11-03,184.4256
2020-11-04,184.431
2020-11-05,184.3855
2020-11-06,184.437
2020-11-09,184.4664
2020-11-10,184.6113
2020-11-11,184.5183
2020-11-12,184.5985
2020-11-13,184.6036
2020-11-16,184.6106
2020-11-17,185.0098
2020-11-18,184.9
2020-11-19,184.9321
2020-11-20,184.6405
2020-11-23,185.1174
2020-11-24,185.4844
2020-11-25,185.4
2020-11-26,185.5071
2020-11-27,185.2192
2020-11-30,184.9601
2020-12-01,185.8
2020-12-02,185.6
2020-12-03,186.8761
2020-12-04,186.5279
2020-12-07,185.4773
2020-12-08,186.2349
2020-12-09,186.1692
2020-12-10,185.9231
2020-12-11,185.9087
2020-12-14,186.02
2020-12-15,186.7323
2020-12-16,187.8877
2020-12-17,188.0686
2020-12-18,187.878
2020-12-21,187.86
2020-12-22,187.7
2020-12-23,189.2842
2020-12-24,190.2188
2020-12-28,190.2846
2020-12-30,187.9667
2020-12-31,186.4082
2021-01-01,185.3906
2021-01-04,185.275
2021-01-05,185.0
2021-01-06,185.0
2021-01-07,185.0
2021-01-08,185.5
2021-01-11,187.5251
2021-01-12,187.0
2021-01-13,186.994
2021-01-15,191.0367
2021-01-18,192.7447
2021-01-19,193.6458
2021-01-20,194.798
2021-01-21,194.798
2021-01-22,196.425
2021-01-25,196.8017
2021-01-26,196.1519
2021-01-27,195.863
2021-01-29,194.3948
2021-02-01,190.9824
2021-02-02,192.5656
2021-02-03,194.0008
2021-02-05,194.4118
2021-02-08,193.7369
2021-02-09,194.358
2021-02-10,194.309
2021-02-11,194.5
2021-02-12,194.625
2021-02-15,193.9717
2021-02-16,193.9717
2021-02-17,194.958
2021-02-18,194.85
2021-02-19,194.85
2021-02-22,194.8257
2021-02-23,194.2126
2021-02-24,194.056
2021-02-25,194.0119
2021-03-01,194.0149
2021-03-02,194.5
2021-03-03,195.6288
2021-03-04,195.2692
2021-03-05,195.3636
2021-03-08,195.5
2021-03-09,195.5
2021-03-10,195.9905
2021-03-12,196.5333
2021-03-15,196.0383
2021-03-16,196.775
2021-03-17,198.4945
2021-03-18,197.45
2021-03-19,199.2803
2021-03-22,197.4667
2021-03-23,197.7692
2021-03-24,198.953
2021-03-25,198.0
2021-03-26,198.445
2021-03-29,198.1705
2021-03-30,199.4353
2021-03-31,199.0377
2021-04-01,199.2153
2021-04-05,199.375
2021-04-06,199.75
2021-04-07,199.005
2021-04-08,200.0184
2021-04-09,199.8744
2021-04-12,199.91
2021-04-15,200.0
2021-04-16,199.9346
2021-04-19,194.4485
2021-04-20,191.9721
2021-04-21,191.881
2021-04-22,192.0
2021-04-23,191.9368
2021-04-27,197.5
2021-04-28,197.5
2021-04-29,199.75
2021-04-30,199.5437
2021-05-03,199.2275
2021-05-04,199.6915
2021-05-05,199.5872
2021-05-06,199.5887
2021-05-07,199.5155
2021-05-10,199.5062
2021-05-11,199.5817
2021-05-12,199.5695
2021-05-13,199.5
2021-05-17,199.5
2021-05-18,199.7873
2021-05-19,199.6716
2021-05-20,199.6625
2021-05-21,199.9
2021-05-24,199.6668
2021-05-25,199.5057
2021-05-28,199.5632
2021-05-31,199.5
2021-06-01,199.5
2021-06-02,199.5
2021-06-03,199.5342
2021-06-04,199.6853
2021-06-07,199.6853
2021-06-08,199.695
2021-06-09,199.825
2021-06-10,199.6761
2021-06-11,199.7609
2021-06-14,199.8891
2021-06-15,199.5
2021-06-16,199.7238
2021-06-17,199.8643
2021-06-18,199.8265
2021-06-21,199.8743
2021-06-22,199.9083
2021-06-23,199.8938
2021-06-25,199.8664
2021-06-28,199.8904
2021-06-29,199.9005
2021-06-30,201.1381
2021-07-01,200.78
2021-07-02,200.5222
2021-07-05,199.9079
2021-07-06,199.9
2021-07-07,199.9
2021-07-08,199.9
2021-07-09,199.9
2021-07-12,199.9056
2021-07-13,199.9
2021-07-14,199.9
2021-07-15,199.8998
2021-07-16,199.9
2021-07-19,199.8942
2021-07-20,199.9019
2021-07-22,199.9
2021-07-26,199.9329
2021-07-27,199.9076
2021-07-28,199.9
2021-07-29,199.9033
2021-07-30,199.9
2021-08-02,199.9
2021-08-03,199.9
2021-08-04,199.9
2021-08-05,199.9
2021-08-06,199.9
2021-08-09,199.9075
2021-08-10,199.9
2021-08-11,199.916
2021-08-12,199.916
2021-08-13,199.916
2021-08-16,199.98
2021-08-17,199.9217
2021-08-18,199.9
2021-08-19,199.9
2021-08-20,199.9
2021-08-23,199.9
2021-08-24,199.9
2021-08-25,199.9
2021-08-26,199.95
2021-08-27,200.0
2021-08-30,202.6164
2021-08-31,210.0
2021-09-01,210.0
2021-09-02,210.0
2021-09-03,207.3455
2021-09-06,207.3455
2021-09-07,207.3455
2021-09-08,199.95
2021-09-09,199.9815
2021-09-10,200.0
2021-09-13,200.0
2021-09-14,200.0
2021-09-15,200.0
2021-09-16,200.0063
2021-09-17,200.0
2021-09-21,199.933
2021-09-22,199.6314
2021-09-23,199.9
2021-09-24,200.2591
2021-09-27,200.0
2021-09-28,200.0335
2021-09-29,199.9857
2021-09-30,199.9857
2021-10-01,200.6959
2021-10-04,200.14
2021-10-05,200.0
2021-10-06,200.06
2021-10-07,200.035
2021-10-08,202.98
2021-10-11,202.4
2021-10-12,202.4
2021-10-13,200.0
