year_month,tea_category,package_type,quantity_kg,fob_rs_per_kg
2020-01,Black,Bags,1438994.13,1512.77
2020-01,Black,Bulk,9426976.84,697.87
2020-01,Black,Packets (4g - 1kg),6822218.83,826.24
2020-01,Black,Packets (1kg - 3kg),193325.68,607.52
2020-01,Black,Packets (3kg - 5kg),929271.44,686.92
2020-01,Black,Packets (5kg - 10kg),2175070.0,601.74
2020-01,Green,Bags,62353.09,2817.74
2020-01,Green,Bulk,44904.0,1086.66
2020-01,Green,Packets (4g - 1kg),61059.84,1761.59
2020-01,Green,Packets (5kg - 10kg),125.0,2261.21
2020-01,Instant,Packets (>3kg),195447.5,1491.59
2020-02,Black,Bags,1579401.37,1526.28
2020-02,Black,Bulk,9606319.11,709.42
2020-02,Black,Packets (4g - 1kg),6905464.33,834.72
2020-02,Black,Packets (1kg - 3kg),131376.48,656.49
2020-02,Black,Packets (3kg - 5kg),1281042.0,702.69
2020-02,Black,Packets (5kg - 10kg),2956412.2,621.86
2020-02,Green,Bags,63970.04,2890.67
2020-02,Green,Bulk,13032.0,1355.43
2020-02,Green,Packets (4g - 1kg),59240.02,1623.43
2020-02,Green,Packets (3kg - 5kg),10.0,888.2
2020-02,Green,Packets (5kg - 10kg),1340.0,1897.09
2020-02,Instant,Packets (>3kg),223971.2,1453.05
2020-03,Black,Bags,1114150.22,1429.83
2020-03,Black,Bulk,5676628.01,721.29
2020-03,Black,Packets (4g - 1kg),3701164.42,834.65
2020-03,Black,Packets (1kg - 3kg),44342.43,790.22
2020-03,Black,Packets (3kg - 5kg),965526.5,740.29
2020-03,Black,Packets (5kg - 10kg),1472188.0,602.15
2020-03,Green,Bags,44078.29,2729.26
2020-03,Green,Bulk,23091.0,1148.85
2020-03,Green,Packets (4g - 1kg),45822.69,1632.38
2020-03,Green,Packets (1kg - 3kg),26.0,16160.08
2020-03,Green,Packets (3kg - 5kg),3074.6,1422.23
2020-03,Green,Packets (5kg - 10kg),2950.0,2068.16
2020-03,Instant,Packets (>3kg),165710.0,1345.73
2020-04,Black,Bags,754616.41,1507.65
2020-04,Black,Bulk,10764306.33,764.31
2020-04,Black,Packets (4g - 1kg),3716753.1,856.39
2020-04,Black,Packets (1kg - 3kg),29912.96,778.92
2020-04,Black,Packets (3kg - 5kg),669425.7,831.31
2020-04,Black,Packets (5kg - 10kg),1394792.0,692.77
2020-04,Green,Bags,33648.41,2475.42
2020-04,Green,Bulk,27853.0,973.96
2020-04,Green,Packets (4g - 1kg),16119.98,1565.81
2020-04,Green,Packets (3kg - 5kg),250.0,835.78
2020-04,Green,Packets (5kg - 10kg),600.0,1872.09
2020-04,Instant,Packets (>3kg),314904.0,1304.86
2020-05,Black,Bags,1264845.48,1413.58
2020-05,Black,Bulk,10575116.61,814.89
2020-05,Black,Packets (4g - 1kg),5985232.98,933.1
2020-05,Black,Packets (1kg - 3kg),37587.1,821.68
2020-05,Black,Packets (3kg - 5kg),1309419.08,839.79
2020-05,Black,Packets (5kg - 10kg),2363967.0,703.19
2020-05,Green,Bags,41667.13,3066.6
2020-05,Green,Bulk,15259.0,1134.87
2020-05,Green,Packets (4g - 1kg),65205.64,1760.31
2020-05,Green,Packets (3kg - 5kg),201.2,5929.74
2020-05,Green,Packets (5kg - 10kg),200.0,1411.76
2020-05,Instant,Packets (>3kg),302527.0,1471.71
