year_month,tea_category,package_type,quantity_kg,fob_rs_per_kg
2020-01,Black,Bags,337126.56,1195.91
2020-01,Black,Bulk,95911.0,627.34
2020-01,Black,Packets (4g - 1kg),122991.56,812.63
2020-01,Black,Packets (1kg - 3kg),79.8,8285.14
2020-01,Black,Packets (3kg - 5kg),34.6,217.17
2020-01,Black,Packets (5kg - 10kg),10650.0,1413.34
2020-01,Green,Bags,107500.18,3079.31
2020-01,Green,Bulk,100.0,1254.54
2020-01,Green,Packets (4g - 1kg),58560.66,1481.43
2020-01,Green,Packets (1kg - 3kg),1054.2,1545.97
2020-01,Green,Packets (5kg - 10kg),8670.0,1252.17
2020-01,Instant,Packets (>3kg),1998.76,965.2
2020-02,Black,Bags,368170.79,1162.88
2020-02,Black,Bulk,103933.0,706.01
2020-02,Black,Packets (4g - 1kg),157747.72,818.55
2020-02,Black,Packets (1kg - 3kg),0.52,1959.62
2020-02,Black,Packets (3kg - 5kg),24045.0,2684.21
2020-02,Black,Packets (5kg - 10kg),650.0,1662.59
2020-02,Green,Bags,104964.6,3294.93
2020-02,Green,Bulk,25760.0,603.97
2020-02,Green,Packets (4g - 1kg),44064.56,1556.14
2020-02,Green,Packets (5kg - 10kg),2000.0,761.04
2020-02,Instant,Packets (>3kg),4079.78,1039.21
2020-03,Black,Bags,213464.8,1224.7
2020-03,Black,Bulk,24836.0,682.7
2020-03,Black,Packets (4g - 1kg),134718.88,876.03
2020-03,Black,Packets (3kg - 5kg),2700.0,3305.47
2020-03,Black,Packets (5kg - 10kg),54.0,3828.28
2020-03,Green,Bags,52718.72,3293.16
2020-03,Green,Bulk,1978.8,526.17
2020-03,Green,Packets (4g - 1kg),135879.45,866.53
2020-03,Green,Packets (1kg - 3kg),80.0,1279.48
2020-03,Instant,Packets (>3kg),2742.06,1374.97
2020-04,Black,Bags,192427.52,1092.1
2020-04,Black,Bulk,73303.0,788.67
2020-04,Black,Packets (4g - 1kg),74301.8,974.82
2020-04,Black,Packets (5kg - 10kg),10500.0,1379.26
2020-04,Green,Bags,26609.83,2827.86
2020-04,Green,Bulk,26480.0,610.34
2020-04,Green,Packets (4g - 1kg),24158.42,1469.7
2020-04,Green,Packets (1kg - 3kg),496.6,1852.1
2020-04,Green,Packets (5kg - 10kg),4500.0,1279.02
2020-04,Instant,Packets (>3kg),1917.7,1287.69
2020-05,Black,Bags,292752.71,1274.31
2020-05,Black,Bulk,70551.18,698.78
2020-05,Black,Packets (4g - 1kg),174946.48,972.29
2020-05,Black,Packets (5kg - 10kg),2300.0,1316.07
2020-05,Green,Bags,60332.49,2378.94
2020-05,Green,Bulk,46867.0,697.24
2020-05,Green,Packets (4g - 1kg),48376.46,1553.91
2020-05,Green,Packets (5kg - 10kg),5550.0,1216.82
2020-05,Instant,Packets (>3kg),351.46,1782.78
2020-06,Black,Bags,351315.08,1168.87
2020-06,Black,Bulk,145278.0,622.79
2020-06,Black,Packets (4g - 1kg),179620.7,975.92
2020-06,Green,Bags,95655.1,2473.15
2020-06,Green,Bulk,15290.0,1190.4
2020-06,Green,Packets (4g - 1kg),82242.5,1138.26
2020-06,Instant,Packets (>3kg),5946.43,1425.56
2020-07,Black,Bags,484379.25,1167.96
2020-07,Black,Bulk,167272.23,632.53
2020-07,Black,Packets (4g - 1kg),173882.1,935.67
2020-07,Black,Packets (3kg - 5kg),4510.0,2645.84
2020-07,Black,Packets (5kg - 10kg),3990.0,1356.39
2020-07,Green,Bags,132234.03,2573.74
2020-07,Green,Bulk,25800.32,579.42
2020-07,Green,Packets (4g - 1kg),155280.4,979.73
2020-07,Green,Packets (1kg - 3kg),1420.32,996.86
2020-07,Green,Packets (3kg - 5kg),50.0,526.66
2020-07,Green,Packets (5kg - 10kg),4350.0,1197.14
2020-07,Instant,Packets (>3kg),5593.49,1176.39
2020-08,Black,Bags,324449.06,1069.72
2020-08,Black,Bulk,120074.8,684.23
2020-08,Black,Packets (4g - 1kg),68300.24,1204.55
2020-08,Black,Packets (5kg - 10kg),750.0,1292.48
2020-08,Green,Bags,91968.88,2796.8
2020-08,Green,Bulk,2758.7,604.67
2020-08,Green,Packets (4g - 1kg),52364.08,1491.71
2020-08,Green,Packets (1kg - 3kg),660.0,946.19
2020-08,Green,Packets (5kg - 10kg),4820.0,1199.05
2020-08,Instant,Bags,158.0,1952.89
2020-08,Instant,Packets (>3kg),2211.11,1092.1
2020-09,Black,Bags,332609.98,1067.93
2020-09,Black,Bulk,111895.0,785.32
2020-09,Black,Packets (3kg - 5kg),5.0,1572.4
2020-09,Black,Packets (4g - 1kg),68959.76,1075.44
2020-09,Black,Packets (5kg - 10kg),4200.0,1289.59
2020-09,Green,Bags,98876.04,3202.45
2020-09,Green,Bulk,404.4,1406.79
2020-09,Green,Packets (4g - 1kg),68482.53,1579.77
2020-09,Green,Packets (1kg - 3kg),0.62,661.29
2020-09,Green,Packets (5kg - 10kg),40.0,3099.93
2020-09,Instant,Packets (>3kg),10.8,3789.35
2020-10,Black,Bags,335562.35,1169.28
2020-10,Black,Bulk,134931.48,714.73
2020-10,Black,Packets (4g - 1kg),146754.39,963.57
2020-10,Black,Packets (3kg - 5kg),5.0,1260.2
2020-10,Black,Packets (5kg - 10kg),12690.0,1303.11
2020-10,Green,Bags,105442.33,2563.62
2020-10,Green,Bulk,59992.0,855.86
2020-10,Green,Packets (4g - 1kg),50713.76,1511.8
2020-10,Green,Packets (1kg - 3kg),2.0,3175.0
2020-10,Green,Packets (5kg - 10kg),415.8,384.08
2020-10,Instant,Packets (>3kg),2747.42,1606.18
2020-11,Black,Bags,347754.22,1184.59
2020-11,Black,Bulk,185814.0,600.93
2020-11,Black,Packets (4g - 1kg),157489.85,937.25
2020-11,Black,Packets (3kg - 5kg),14840.0,2717.14
2020-11,Black,Packets (5kg - 10kg),100.0,1639.81
2020-11,Green,Bags,87177.09,3101.24
2020-11,Green,Bulk,14059.0,1037.63
2020-11,Green,Packets (4g - 1kg),63880.84,1549.61
2020-11,Green,Packets (1kg - 3kg),70.0,1421.74
2020-11,Instant,Packets (>3kg),4779.44,1045.95
2020-12,Black,Bags,265299.86,1178.33
2020-12,Black,Bulk,55880.6,777.17
2020-12,Black,Packets (4g - 1kg),127106.14,999.81
2020-12,Black,Packets (3kg - 5kg),41.0,563.37
2020-12,Black,Packets (5kg - 10kg),8215.2,1306.83
2020-12,Green,Bags,94611.34,2749.45
2020-12,Green,Bulk,4714.1,1508.34
2020-12,Green,Packets (4g - 1kg),34247.15,1537.45
2020-12,Green,Packets (3kg - 5kg),3.3,399.39
2020-12,Green,Packets (5kg - 10kg),4660.06,1200.91
2020-12,Instant,Packets (>3kg),59.4,2672.05
2021-01,Black,Bags,359987.6,1165.67
2021-01,Black,Bulk,159537.6,791.38
2021-01,Black,Packets (4g - 1kg),80019.77,1147.33
2021-01,Green,Bags,88986.51,2984.28
2021-01,Green,Bulk,41185.0,682.85
2021-01,Green,Packets (4g - 1kg),34388.17,1321.43
2021-01,Green,Packets (5kg - 10kg),26.0,1343.92
2021-01,Instant,Packets (>3kg),439.38,1587.48
2021-02,Black,Bags,349108.52,1206.54
2021-02,Black,Bulk,99432.0,737.07
2021-02,Black,Packets (4g - 1kg),102877.95,1049.74
2021-02,Black,Packets (3kg - 5kg),17611.0,2830.35
2021-02,Black,Packets (5kg - 10kg),4190.0,1344.08
2021-02,Green,Bags,111412.9,2922.53
2021-02,Green,Bulk,20119.0,671.87
2021-02,Green,Packets (4g - 1kg),97777.46,1256.01
2021-02,Green,Packets (3kg - 5kg),2667.0,1418.85
2021-02,Green,Packets (5kg - 10kg),2320.0,1286.64
2021-02,Instant,Packets (>3kg),2072.75,1137.64
2021-03,Black,Bags,491708.1,1230.35
2021-03,Black,Bulk,104091.4,808.8
2021-03,Black,Packets (4g - 1kg),191473.69,1101.21
2021-03,Black,Packets (3kg - 5kg),155.0,2183.12
2021-03,Black,Packets (5kg - 10kg),130.0,1872.04
2021-03,Green,Bags,109110.63,2899.49
2021-03,Green,Bulk,24389.0,688.68
2021-03,Green,Packets (4g - 1kg),72704.71,1444.04
2021-03,Green,Packets (5kg - 10kg),1620.0,997.77
2021-03,Instant,Bags,1.2,491.67
2021-03,Instant,Packets (>3kg),2303.4,1614.02
2021-04,Black,Bags,334619.7,1244.3
2021-04,Black,Bulk,66643.6,872.99
